,controller_name,episode,reward_mean,reward_sum,query_cost_mean,query_cost_sum,query_cost_weight,accuracy_cost_mean,accuracy_cost_sum,accuracy_weight,cloud_query_budget_frac
0,curr_cloud,128,-1.7419354838709677,-162.0,0.6666666666666666,62.0,1.0,0.10752688172043011,10.0,10.0,0.15
0,curr_cloud,644,-2.3144654088050314,-368.0,2.3144654088050314,368.0,1.0,0.0,0.0,10.0,0.9
0,curr_cloud,134,-2.3870967741935485,-222.0,0.6666666666666666,62.0,1.0,0.17204301075268819,16.0,10.0,0.15
0,curr_cloud,650,-2.3144654088050314,-368.0,2.3144654088050314,368.0,1.0,0.0,0.0,10.0,0.9
0,curr_cloud,140,-1.956989247311828,-182.0,0.6666666666666666,62.0,1.0,0.12903225806451613,12.0,10.0,0.15
0,curr_cloud,656,-2.3773584905660377,-378.0,2.3144654088050314,368.0,1.0,0.006289308176100629,1.0,10.0,0.9
0,curr_cloud,146,-2.4946236559139785,-232.0,0.6666666666666666,62.0,1.0,0.1827956989247312,17.0,10.0,0.15
0,curr_cloud,662,-2.3773584905660377,-378.0,2.3144654088050314,368.0,1.0,0.006289308176100629,1.0,10.0,0.9
0,curr_cloud,152,-2.2795698924731185,-212.0,0.6666666666666666,62.0,1.0,0.16129032258064516,15.0,10.0,0.15
0,curr_cloud,668,-2.3773584905660377,-378.0,2.3144654088050314,368.0,1.0,0.006289308176100629,1.0,10.0,0.9
0,curr_cloud,158,-2.7096774193548385,-252.0,0.6666666666666666,62.0,1.0,0.20430107526881722,19.0,10.0,0.15
0,curr_cloud,674,-2.691823899371069,-428.0,2.3144654088050314,368.0,1.0,0.03773584905660377,6.0,10.0,0.9
0,curr_cloud,164,-1.956989247311828,-182.0,0.6666666666666666,62.0,1.0,0.12903225806451613,12.0,10.0,0.15
0,curr_cloud,680,-2.3144654088050314,-368.0,2.3144654088050314,368.0,1.0,0.0,0.0,10.0,0.9
0,curr_cloud,170,-1.956989247311828,-182.0,0.6666666666666666,62.0,1.0,0.12903225806451613,12.0,10.0,0.15
0,curr_cloud,686,-2.3144654088050314,-368.0,2.3144654088050314,368.0,1.0,0.0,0.0,10.0,0.9
0,curr_cloud,176,-2.064516129032258,-192.0,0.6666666666666666,62.0,1.0,0.13978494623655913,13.0,10.0,0.15
0,curr_cloud,692,-2.7547169811320753,-438.0,2.3144654088050314,368.0,1.0,0.0440251572327044,7.0,10.0,0.9
0,curr_cloud,182,-2.3870967741935485,-222.0,0.6666666666666666,62.0,1.0,0.17204301075268819,16.0,10.0,0.15
0,curr_cloud,698,-2.691823899371069,-428.0,2.3144654088050314,368.0,1.0,0.03773584905660377,6.0,10.0,0.9
0,curr_cloud,188,-2.7096774193548385,-252.0,0.6666666666666666,62.0,1.0,0.20430107526881722,19.0,10.0,0.15
0,curr_cloud,704,-2.3144654088050314,-368.0,2.3144654088050314,368.0,1.0,0.0,0.0,10.0,0.9
0,curr_cloud,194,-2.3870967741935485,-222.0,0.6666666666666666,62.0,1.0,0.17204301075268819,16.0,10.0,0.15
0,curr_cloud,710,-2.7547169811320753,-438.0,2.3144654088050314,368.0,1.0,0.0440251572327044,7.0,10.0,0.9
0,curr_cloud,200,-1.6344086021505377,-152.0,0.6666666666666666,62.0,1.0,0.0967741935483871,9.0,10.0,0.15
0,curr_cloud,716,-2.7547169811320753,-438.0,2.3144654088050314,368.0,1.0,0.0440251572327044,7.0,10.0,0.9
0,curr_cloud,206,-1.3118279569892473,-122.0,0.6666666666666666,62.0,1.0,0.06451612903225806,6.0,10.0,0.15
0,curr_cloud,722,-2.4150943396226414,-384.0,2.4150943396226414,384.0,1.0,0.0,0.0,10.0,0.95
0,curr_cloud,212,-3.139784946236559,-292.0,0.6666666666666666,62.0,1.0,0.24731182795698925,23.0,10.0,0.15
0,curr_cloud,728,-2.540880503144654,-404.0,2.4150943396226414,384.0,1.0,0.012578616352201259,2.0,10.0,0.95
0,curr_cloud,218,-1.096774193548387,-102.0,0.6666666666666666,62.0,1.0,0.043010752688172046,4.0,10.0,0.15
0,curr_cloud,734,-2.540880503144654,-404.0,2.4150943396226414,384.0,1.0,0.012578616352201259,2.0,10.0,0.95
0,curr_cloud,224,-1.6344086021505377,-152.0,0.6666666666666666,62.0,1.0,0.0967741935483871,9.0,10.0,0.15
0,curr_cloud,740,-2.4150943396226414,-384.0,2.4150943396226414,384.0,1.0,0.0,0.0,10.0,0.95
0,curr_cloud,230,-2.817204301075269,-262.0,0.6666666666666666,62.0,1.0,0.21505376344086022,20.0,10.0,0.15
0,curr_cloud,746,-2.6037735849056602,-414.0,2.4150943396226414,384.0,1.0,0.018867924528301886,3.0,10.0,0.95
0,curr_cloud,236,-2.172043010752688,-202.0,0.6666666666666666,62.0,1.0,0.15053763440860216,14.0,10.0,0.15
0,curr_cloud,752,-2.4150943396226414,-384.0,2.4150943396226414,384.0,1.0,0.0,0.0,10.0,0.95
0,curr_cloud,242,-1.1603773584905661,-123.0,1.1603773584905661,123.0,1.0,0.0,0.0,10.0,0.3
0,curr_cloud,758,-2.4779874213836477,-394.0,2.4150943396226414,384.0,1.0,0.006289308176100629,1.0,10.0,0.95
0,curr_cloud,248,-1.349056603773585,-143.0,1.1603773584905661,123.0,1.0,0.018867924528301886,2.0,10.0,0.3
0,curr_cloud,764,-2.4150943396226414,-384.0,2.4150943396226414,384.0,1.0,0.0,0.0,10.0,0.95
0,curr_cloud,254,-1.349056603773585,-143.0,1.1603773584905661,123.0,1.0,0.018867924528301886,2.0,10.0,0.3
0,curr_cloud,770,-2.4150943396226414,-384.0,2.4150943396226414,384.0,1.0,0.0,0.0,10.0,0.95
0,curr_cloud,260,-1.1603773584905661,-123.0,1.1603773584905661,123.0,1.0,0.0,0.0,10.0,0.3
0,curr_cloud,776,-2.4779874213836477,-394.0,2.4150943396226414,384.0,1.0,0.006289308176100629,1.0,10.0,0.95
0,curr_cloud,266,-1.4433962264150944,-153.0,1.1603773584905661,123.0,1.0,0.02830188679245283,3.0,10.0,0.3
0,curr_cloud,782,-2.4779874213836477,-394.0,2.4150943396226414,384.0,1.0,0.006289308176100629,1.0,10.0,0.95
0,curr_cloud,272,-1.1603773584905661,-123.0,1.1603773584905661,123.0,1.0,0.0,0.0,10.0,0.3
0,curr_cloud,788,-2.4779874213836477,-394.0,2.4150943396226414,384.0,1.0,0.006289308176100629,1.0,10.0,0.95
0,curr_cloud,278,-1.2547169811320755,-133.0,1.1603773584905661,123.0,1.0,0.009433962264150943,1.0,10.0,0.3
0,curr_cloud,794,-2.540880503144654,-404.0,2.4150943396226414,384.0,1.0,0.012578616352201259,2.0,10.0,0.95
0,curr_cloud,284,-1.1603773584905661,-123.0,1.1603773584905661,123.0,1.0,0.0,0.0,10.0,0.3
0,curr_cloud,800,-2.4150943396226414,-384.0,2.4150943396226414,384.0,1.0,0.0,0.0,10.0,0.95
0,curr_cloud,290,-1.1603773584905661,-123.0,1.1603773584905661,123.0,1.0,0.0,0.0,10.0,0.3
0,curr_cloud,806,-2.4150943396226414,-384.0,2.4150943396226414,384.0,1.0,0.0,0.0,10.0,0.95
0,curr_cloud,296,-1.2547169811320755,-133.0,1.1603773584905661,123.0,1.0,0.009433962264150943,1.0,10.0,0.3
0,curr_cloud,812,-2.6037735849056602,-414.0,2.4150943396226414,384.0,1.0,0.018867924528301886,3.0,10.0,0.95
0,curr_cloud,302,-1.2547169811320755,-133.0,1.1603773584905661,123.0,1.0,0.009433962264150943,1.0,10.0,0.3
0,curr_cloud,818,-2.540880503144654,-404.0,2.4150943396226414,384.0,1.0,0.012578616352201259,2.0,10.0,0.95
0,curr_cloud,308,-1.2547169811320755,-133.0,1.1603773584905661,123.0,1.0,0.009433962264150943,1.0,10.0,0.3
0,curr_cloud,824,-2.4150943396226414,-384.0,2.4150943396226414,384.0,1.0,0.0,0.0,10.0,0.95
0,curr_cloud,314,-1.349056603773585,-143.0,1.1603773584905661,123.0,1.0,0.018867924528301886,2.0,10.0,0.3
